id,prompt
1,"A cat sleeping on a windowsill, feeling calm."
2,"A dog catching a ball in a park, feeling happy."
3,"Two children building a sandcastle on a beach, feeling frustrated."
4,"A bird perched on a tree branch, feeling alert."
5,"A fox walking along a forest path, feeling cautious."
6,"A girl painting on a canvas, feeling joyful."
7,"A robot holding a flower, feeling lonely."
8,"A child chasing butterflies in a garden, feeling excited."
9,"A boat floating on a calm lake, feeling peaceful."
10,"A boy watching rain from a window, feeling sad."
11,"Two rabbits hopping in a meadow, feeling playful."
12,"A squirrel gathering acorns in a park, feeling busy."
13,"A child pouring juice at a kitchen table, feeling focused."
14,"A cat watching birds outside, feeling curious."
15,"A girl drawing in a notebook, feeling bored."
16,"A fox looking up at the sky, feeling wonder."
17,"Two birds building a nest in a tree, feeling cooperative."
18,"A child swinging on a playground swing, feeling joyful."
19,"A dog lying in the sun on the grass, feeling tired."
20,"A teen looking at a sculpture in a museum, feeling amazed."
21,"A child stacking colorful blocks, feeling frustrated."
22,"A bird flying over a pond, feeling free."
23,"A girl watering plants in a garden, feeling gentle."
24,"A boy riding a bicycle on a path, feeling nervous."
25,"Two children flying a kite in a field, feeling excited."
26,"A dog digging a hole in the sand, feeling mischievous."
27,"A cat chasing a butterfly in the yard, feeling curious."
28,"A child reading a book under a tree, feeling calm."
29,"A fox hiding behind a bush, feeling scared."
30,"A robot drawing on a piece of paper, feeling creative."
31,"Two squirrels playing on a tree branch, feeling playful."
32,"A girl blowing bubbles outside, feeling cheerful."
33,"A boy throwing a ball to a dog, feeling happy."
34,"A bird sitting on a fence, feeling watchful."
35,"A child painting a rainbow on a wall, feeling proud."
36,"A cat stretching on a sofa, feeling relaxed."
37,"A child stacking cups on a table, feeling focused."
38,"A dog running across a grassy field, feeling energetic."
39,"A girl picking apples from a tree, feeling thoughtful."
40,"A boy skipping stones on a pond, feeling calm."
41,"Two children building a fort with pillows, feeling playful."
42,"A fox looking at a small pond, feeling curious."
43,"A child playing with a toy car, feeling bored."
44,"A bird pecking at seeds on the ground, feeling busy."
45,"A robot watering a small plant, feeling helpful."
46,"A girl drawing chalk on the sidewalk, feeling cheerful."
47,"A boy watching a frog near a pond, feeling curious."
48,"A cat playing with a ball of yarn, feeling playful."
49,"Two children holding hands while walking, feeling shy."
50,"A dog jumping over a log in a forest, feeling energetic."

